TTP ID;Phase;Technique Name;Description courte;Mitigations;;;
T1550;Lateral Movement;Use Alternate Authentication Material;Utilisation de tickets ou hashes volés pour s’authentifier sur d’autres systèmes.;Déploiement de MFA même avec matériel d’authentification alternatif, détection d’anomalies d’utilisation de tickets/hashes via SIEM/EDR et rotation régulière des secrets.;;;
T1550.002;Lateral Movement;Pass the Hash;Authentification en réutilisant un NTLM hash volé.;MFA obligatoire même avec hash valide, détection d’utilisation anormale de hashes NTLM et restriction des comptes pouvant accepter des hashes.;;;
T1550.003;Lateral Movement;Pass the Ticket;Utilisation d’un ticket Kerberos volé (KRB?TGT) sur un autre système.;Kerberos Armoring, surveillance des tickets anormaux (détection Golden Ticket/Pass?the?Ticket) et MFA renforcé pour les accès sensibles.;;;
T1563;Lateral Movement;Remote Service Session Hijacking;Hijack d’une session distante déjà établie (ex. RDP).;Surveillance des sessions actives via logs RDP, MFA continue (step?up) pour actions critiques et limitation du nombre de sessions simultanées par utilisateur.;;;
T1563.002;Lateral Movement;RDP Hijacking;Prise de contrôle d’une session RDP existante.;Limitation du nombre de sessions RDP par utilisateur, journalisation détaillée des connexions RDP et MFA obligatoire lors de la reprise de session.;;;
T1210;Lateral Movement;Exploitation of Remote Services;Exploitation d’une vulnérabilité dans un service distant pour se propager.;Patch rapide des services exposés, IDS/IPS pour détection d’exploits et segmentation réseau stricte avec listes blanches.;;;
T1097;Lateral Movement;Pass the Ticket (ancienne);Passage de tickets Kerberos volés entre systèmes (ancienne désignation).;Voir mitigation?: Kerberos Armoring, surveillance des tickets anormaux et MFA renforcé pour les accès sensibles.;;;
T1119;Collection;Automated Collection;Mise en place d’outils automatisés pour collecter données sensibles.;Déploiement de DLP qui bloque la collecte massive et audit des processus qui accèdent à des répertoires sensibles.;;;
T1005;Collection;Data from Local System;Exfiltration de données présentes sur le disque local.;Chiffrement au repos + contrôle d’accès strict aux répertoires contenant données sensibles.;;;
T1039;Collection;Data from Network Shared Drive;Collecte depuis des partages réseau accessibles.;Permissions SMB restrictives + DLP qui détecte accès massifs à des partages sensibles.;;;
T1074;Collection;Data Staged;Stockage temporaire des données volées avant exfiltration.;Utiliser des solutions DLP qui détectent la création de répertoires temporaires inhabituels et journaliser les mouvements de fichiers.;;;
T1113;Collection;Screen Capture;Capture d’écrans du poste victime.;Contrôles d’intégrité sur les API graphiques et désactivation des outils de capture non autorisés via AppLocker.;;;
T1123;Collection;Audio Capture;Enregistrement audio depuis le microphone du système compromis.;Politique de désactivation du microphone sur postes sensibles et monitoring des appels API audio.;;;
T1125;Collection;Video Capture;Enregistrement vidéo depuis la webcam ou l’écran.;Désactiver webcam/microphone sur postes non nécessaires et alerter sur accès aux APIs multimédia.;;;
T1056;Collection;Input Capture;Capture d’entrées clavier/souris (keylogging). ;Déploiement d’EDR capable de détecter hooks clavier et restrictions sur les bibliothèques d’entrée via AppLocker/WDAC.;;;
T1056.001;Collection;Keylogging;Enregistrement détaillé des frappes clavier.;MFA réduit l’impact du keylogging ;;; surveillance comportementale pour détecter processus accédant aux APIs d’entrée.
T1557;Collection;(duplication)?–?Adversary-in-the-Middle;;Voir mitigation?: TLS strict + IDS réseau.;;;
T1114;Collection;Email Collection;Collecte d’e?mails depuis la boîte aux lettres de la victime.;MFA sur accès mail, chiffrement end?to?end et DLP qui bloque l’extraction massive d’e?mails.;;;
T1114.002;Collection;Remote Email Collection;Accès à distance aux boîtes mail via IMAP/POP/OWA.;MFA obligatoire sur accès IMAP/POP/OWA et limitation par IP autorisée + journalisation détaillée.;;;
T1071;Command and Control;Application Layer Protocol;Utilisation de protocoles applicatifs (HTTP/HTTPS) pour le C2.;Inspection TLS (SSL?Inspection) et filtrage URL avec proxy sécurisé.;;;
T1071.001;Command and Control;Web Protocols;C2 via protocoles web classiques (HTTP/HTTPS). ;Déploiement de Web Application Firewall (WAF) qui détecte trafic anormal et inspection TLS.;;;
T1105;Command and Control;Ingress Tool Transfer;Transfert d’outils/malware depuis le serveur C2 vers la cible.;Filtrage sortant strict (proxy) et inspection du contenu transféré (sandbox).;;;
T1573;Command and Control;Encrypted Channel;Établissement d’un canal chiffré entre la cible et le serveur C2.;Inspection TLS avec déchiffrement en point central (SSL?Inspection) et monitoring du trafic chiffré suspect.;;;
T1573.001;Command and Control;Symmetric Cryptography;Utilisation de chiffrement symétrique pour le canal C2.;Rotation fréquente des clés et limitation aux algorithmes approuvés uniquement.;;;
T1573.002;Command and Control;Asymmetric Cryptography;Utilisation de chiffrement asymétrique pour le canal C2.;Gestion sécurisée des clés privées et validation des certificats côté serveur C2.;;;
T1095;Command and Control;Non-Application Layer Protocol;C2 via protocoles non applicatifs (ICMP, DNS,…). ;Surveillance du trafic réseau atypique (DNS tunneling) via IDS/IPS et blocage des protocoles inutilisés.;;;
T1571;Command and Control;Non-Standard Port;Utilisation de ports non standards pour masquer le C2.;Liste blanche des ports autorisés et détection d’activités sur ports inhabituels via NetFlow/NDR.;;;
T1568;Command and Control;Dynamic Resolution;Résolution dynamique d’adresses C2 (exemple : DNS flux). ;DNS sinkholing & surveillance des requêtes DNS vers domaines inconnus ou à forte entropie.;;;
T1568.002;Command and Control;Domain Generation Algorithms;Algorithmes générant dynamiquement des domaines C2 (DGAs). ;Implémenter DNS sinkhole + blocage proactif des domaines générés par DGA connus.;;;
T1219;Command and Control;Remote Access Software;Utilisation de logiciels légitimes d’accès à distance (TeamViewer,…). ;Whitelist uniquement les solutions approuvées et désactiver l’accès non autorisé via GPO/MFA.;;;
T1102;Command and Control;Web Service;C2 via services web légitimes (Dropbox, Google Drive…). ;Inspection du trafic API cloud via CASB et blocage des uploads non autorisés.;;;
T1102.001;Command and Control;Dead Drop Resolver;Utilisation d’un résolveur “dead drop” pour récupérer instructions C2.;Surveillance DNS atypique et restriction aux résolveurs internes uniquement.;;;
T1483;Command and Control;(duplication)?–?Domain Generation Algorithms;Voir mitigation?: DNS sinkholing & DGA detection.;;;;
T1041;Exfiltration;Exfiltration Over C2 Channel;Exfiltration de données via le même canal C2 utilisé pour le contrôle.;Limitation du volume data exfiltré par session C2 et inspection du contenu transféré (DLP).;;;
T1048;Exfiltration;Exfiltration Over Alternative Protocol;Exfiltration via protocoles alternatifs (FTP, SMTP,…). ;Blocage sortant vers protocoles non nécessaires et inspection DLP sur ces flux.;;;
T1020;Exfiltration;Automated Exfiltration;Automatisation du vol/exfiltration de données à grande échelle.;Détection comportementale d’activités massives de lecture/export et quotas limites par compte/service.;;;
T1537;Exfiltration;Transfer Data to Cloud Account;Envoi direct vers un compte cloud tiers contrôlé par l’attaquant.;Contrôle IAM strict sur comptes cloud externes + DLP qui bloque uploads vers destinations non approuvées.;;;
T1567;Exfiltration;Exfiltration Over Web Service;Vol de données via services web légitimes (Google Docs,…). ;CASB qui surveille l’usage des API cloud et bloque les partages externes non autorisés.;;;
T1567.002;Exfiltration;Exfiltration to Cloud Storage;Envoi direct vers un stockage cloud public (S3,…). ;Chiffrement côté client avant upload + contrôle IAM restrictif + DLP qui détecte uploads massifs.;;;
T1002;Exfiltration;Data Compressed;Compression des données avant exfiltration afin d’échapper aux contrôles.;Inspection du trafic compressé (décompression en sandbox) et limitation des tailles de fichiers compressés sortants.;;;
T1029;Exfiltration;Scheduled Transfer;Planification régulière d’exfiltrations automatisées.;Surveillance des tâches planifiées créées par comptes non privilégiés et alerte sur transferts récurrents vers destinations externes.;;;
T1486;Impact;Data Encrypted for Impact;Chiffrement/destruction de données (ransomware). ;Sauvegardes hors?ligne immuables, segmentation réseau et limitation des droits d’écriture sur répertoires critiques.;;;
T1485;Impact;Data Destruction;Suppression ou corruption volontaire de données sensibles.;Sauvegardes régulières hors ligne + contrôle d’intégrité immuable (WORM) et alertes sur suppressions massives inattendues.;;;
T1499;Impact;Endpoint Denial of Service;Déni de service ciblant les endpoints (exhaustion ressources). ;Limitation des processus par quotas CPU/mémoire via GPO/Endpoint Protection et détection anomalie comportementale.;;;
